,x,y,state,scenario
5,50.0,0.0,ME,intermediate
6,60.0,0.0,ME,intermediate
7,70.0,0.0,ME,intermediate
8,80.0,0.0,ME,intermediate
9,90.0,0.0,ME,intermediate
10,100.0,0.0,ME,intermediate
11,110.0,0.0,ME,intermediate
12,120.0,53191.0,ME,intermediate
0,0.0,734764.0,VA,intermediate
1,10.0,74068.0,VA,intermediate
2,20.0,23353.0,VA,intermediate
3,30.0,40519.0,VA,intermediate
4,40.0,18188.0,VA,intermediate
5,50.0,10108.0,VA,intermediate
6,60.0,2256.0,VA,intermediate
7,70.0,3310.0,VA,intermediate
8,80.0,483.0,VA,intermediate
9,90.0,1722.0,VA,intermediate
10,100.0,1798.0,VA,intermediate
11,110.0,1162.0,VA,intermediate
12,120.0,0.0,VA,intermediate
0,0.0,61933.0,GA,intermediate
1,10.0,109709.0,GA,intermediate
2,20.0,10282.0,GA,intermediate
3,30.0,79491.0,GA,intermediate
4,40.0,1433.0,GA,intermediate
5,50.0,1063.0,GA,intermediate
6,60.0,2051.0,GA,intermediate
7,70.0,0.0,GA,intermediate
8,80.0,0.0,GA,intermediate
9,90.0,0.0,GA,intermediate
10,100.0,0.0,GA,intermediate
11,110.0,0.0,GA,intermediate
12,120.0,1910.0,GA,intermediate
0,0.0,28882.0,TX,intermediate
1,10.0,190332.0,TX,intermediate
2,20.0,11798.0,TX,intermediate
3,30.0,7384.0,TX,intermediate
4,40.0,2931.0,TX,intermediate
5,50.0,8327.0,TX,intermediate
6,60.0,446.0,TX,intermediate
7,70.0,813.0,TX,intermediate
8,80.0,289.0,TX,intermediate
9,90.0,4359.0,TX,intermediate
10,100.0,2060.0,TX,intermediate
11,110.0,124.0,TX,intermediate
12,120.0,29276.0,TX,intermediate
0,0.0,69613.0,MS,intermediate
1,10.0,3660.0,MS,intermediate
2,20.0,4677.0,MS,intermediate
3,30.0,6055.0,MS,intermediate
4,40.0,2465.0,MS,intermediate
5,50.0,1505.0,MS,intermediate
6,60.0,479.0,MS,intermediate
7,70.0,176.0,MS,intermediate
8,80.0,159.0,MS,intermediate
9,90.0,163.0,MS,intermediate
10,100.0,338.0,MS,intermediate
11,110.0,2852.0,MS,intermediate
12,120.0,268.0,MS,intermediate
0,0.0,41943.0,AL,intermediate
1,10.0,282.0,AL,intermediate
2,20.0,3950.0,AL,intermediate
3,30.0,3636.0,AL,intermediate
4,40.0,879.0,AL,intermediate
5,50.0,1472.0,AL,intermediate
6,60.0,808.0,AL,intermediate
7,70.0,6.0,AL,intermediate
8,80.0,1074.0,AL,intermediate
9,90.0,126.0,AL,intermediate
10,100.0,0.0,AL,intermediate
11,110.0,48.0,AL,intermediate
12,120.0,0.0,AL,intermediate
0,0.0,224178.0,HI,intermediate
1,10.0,6625.0,HI,intermediate
2,20.0,7307.0,HI,intermediate
3,30.0,50360.0,HI,intermediate
4,40.0,910.0,HI,intermediate
5,50.0,1010.0,HI,intermediate
6,60.0,720.0,HI,intermediate
7,70.0,1548.0,HI,intermediate
8,80.0,116.0,HI,intermediate
9,90.0,0.0,HI,intermediate
10,100.0,0.0,HI,intermediate
11,110.0,0.0,HI,intermediate
12,120.0,136.0,HI,intermediate
0,0.0,383409.0,MA,intermediate
1,10.0,264996.0,MA,intermediate
2,20.0,34147.0,MA,intermediate
3,30.0,10556.0,MA,intermediate
4,40.0,0.0,MA,intermediate
5,50.0,4895.0,MA,intermediate
6,60.0,3100.0,MA,intermediate
7,70.0,13651.0,MA,intermediate
8,80.0,3393.0,MA,intermediate
9,90.0,0.0,MA,intermediate
10,100.0,0.0,MA,intermediate
11,110.0,0.0,MA,intermediate
12,120.0,3458.0,MA,intermediate
0,0.0,41870.0,DE,intermediate
1,10.0,1268.0,DE,intermediate
2,20.0,1883.0,DE,intermediate
3,30.0,12876.0,DE,intermediate
4,40.0,1144.0,DE,intermediate
5,50.0,6659.0,DE,intermediate
6,60.0,1248.0,DE,intermediate
7,70.0,861.0,DE,intermediate
8,80.0,260.0,DE,intermediate
9,90.0,916.0,DE,intermediate
10,100.0,2081.0,DE,intermediate
11,110.0,248.0,DE,intermediate
12,120.0,12227.0,DE,intermediate
0,0.0,39182.0,OR,intermediate
1,10.0,153.0,OR,intermediate
2,20.0,94.0,OR,intermediate
3,30.0,606.0,OR,intermediate
