,rise,geoid_tract,U7B001,U7C005,U7B004,U7C002,U7G001,state_code,state_name,U7B001_total,U7B001_percentage
0,0,15005031900,82,27,2,18,97,HI,Hawaii,82,100.0
1497,1,15005031900,82,27,2,18,97,HI,Hawaii,82,100.0
5002,2,15005031900,82,27,2,18,97,HI,Hawaii,82,100.0
9225,3,15005031900,82,27,2,18,97,HI,Hawaii,82,100.0
14133,4,15005031900,82,27,2,18,97,HI,Hawaii,82,100.0
19649,5,15005031900,82,27,2,18,97,HI,Hawaii,82,100.0
25726,6,15005031900,82,27,2,18,97,HI,Hawaii,82,100.0
32263,7,15005031900,82,27,2,18,97,HI,Hawaii,82,100.0
39205,8,15005031900,82,27,2,18,97,HI,Hawaii,82,100.0
46479,9,15005031900,82,27,2,18,97,HI,Hawaii,82,100.0
54041,10,15005031900,82,27,2,18,97,HI,Hawaii,82,100.0
1,0,15009031601,3367,475,14,306,1525,HI,Hawaii,3367,100.0
1510,1,15009031601,3367,475,14,306,1525,HI,Hawaii,3367,100.0
5018,2,15009031601,3367,475,14,306,1525,HI,Hawaii,3367,100.0
9246,3,15009031601,3367,475,14,306,1525,HI,Hawaii,3367,100.0
14155,4,15009031601,3367,475,14,306,1525,HI,Hawaii,3367,100.0
19672,5,15009031601,3367,475,14,306,1525,HI,Hawaii,3367,100.0
25751,6,15009031601,3367,475,14,306,1525,HI,Hawaii,3367,100.0
32288,7,15009031601,3367,475,14,306,1525,HI,Hawaii,3367,100.0
39232,8,15009031601,3367,475,14,306,1525,HI,Hawaii,3367,100.0
46509,9,15009031601,3367,475,14,306,1525,HI,Hawaii,3367,100.0
54071,10,15009031601,3367,475,14,306,1525,HI,Hawaii,3367,100.0
2,0,15009031700,4441,712,14,281,1966,HI,Hawaii,4441,100.0
1511,1,15009031700,4441,712,14,281,1966,HI,Hawaii,4441,100.0
5019,2,15009031700,4441,712,14,281,1966,HI,Hawaii,4441,100.0
9247,3,15009031700,4441,712,14,281,1966,HI,Hawaii,4441,100.0
14156,4,15009031700,4441,712,14,281,1966,HI,Hawaii,4441,100.0
19673,5,15009031700,4441,712,14,281,1966,HI,Hawaii,4441,100.0
25752,6,15009031700,4441,712,14,281,1966,HI,Hawaii,4441,100.0
32289,7,15009031700,4441,712,14,281,1966,HI,Hawaii,4441,100.0
39233,8,15009031700,4441,712,14,281,1966,HI,Hawaii,4441,100.0
46510,9,15009031700,4441,712,14,281,1966,HI,Hawaii,4441,100.0
54072,10,15009031700,4441,712,14,281,1966,HI,Hawaii,4441,100.0
3,0,15009031801,2846,399,5,173,1388,HI,Hawaii,2846,100.0
1512,1,15009031801,2846,399,5,173,1388,HI,Hawaii,2846,100.0
5020,2,15009031801,2846,399,5,173,1388,HI,Hawaii,2846,100.0
9248,3,15009031801,2846,399,5,173,1388,HI,Hawaii,2846,100.0
14157,4,15009031801,2846,399,5,173,1388,HI,Hawaii,2846,100.0
19674,5,15009031801,2846,399,5,173,1388,HI,Hawaii,2846,100.0
25753,6,15009031801,2846,399,5,173,1388,HI,Hawaii,2846,100.0
32290,7,15009031801,2846,399,5,173,1388,HI,Hawaii,2846,100.0
39234,8,15009031801,2846,399,5,173,1388,HI,Hawaii,2846,100.0
46511,9,15009031801,2846,399,5,173,1388,HI,Hawaii,2846,100.0
54073,10,15009031801,2846,399,5,173,1388,HI,Hawaii,2846,100.0
4,0,25007200100,4815,3575,203,153,3226,MA,Massachusetts,4815,100.0
1874,1,25007200100,4815,3575,203,153,3226,MA,Massachusetts,4815,100.0
5460,2,25007200100,4815,3575,203,153,3226,MA,Massachusetts,4815,100.0
9748,3,25007200100,4815,3575,203,153,3226,MA,Massachusetts,4815,100.0
14699,4,25007200100,4815,3575,203,153,3226,MA,Massachusetts,4815,100.0
20262,5,25007200100,4815,3575,203,153,3226,MA,Massachusetts,4815,100.0
26378,6,25007200100,4815,3575,203,153,3226,MA,Massachusetts,4815,100.0
32952,7,25007200100,4815,3575,203,153,3226,MA,Massachusetts,4815,100.0
39918,8,25007200100,4815,3575,203,153,3226,MA,Massachusetts,4815,100.0
47214,9,25007200100,4815,3575,203,153,3226,MA,Massachusetts,4815,100.0
54799,10,25007200100,4815,3575,203,153,3226,MA,Massachusetts,4815,100.0
5,0,25007200200,5341,3918,391,134,4366,MA,Massachusetts,5341,100.0
1875,1,25007200200,5341,3918,391,134,4366,MA,Massachusetts,5341,100.0
5461,2,25007200200,5341,3918,391,134,4366,MA,Massachusetts,5341,100.0
9749,3,25007200200,5341,3918,391,134,4366,MA,Massachusetts,5341,100.0
14700,4,25007200200,5341,3918,391,134,4366,MA,Massachusetts,5341,100.0
20263,5,25007200200,5341,3918,391,134,4366,MA,Massachusetts,5341,100.0
26379,6,25007200200,5341,3918,391,134,4366,MA,Massachusetts,5341,100.0
32953,7,25007200200,5341,3918,391,134,4366,MA,Massachusetts,5341,100.0
39919,8,25007200200,5341,3918,391,134,4366,MA,Massachusetts,5341,100.0
47215,9,25007200200,5341,3918,391,134,4366,MA,Massachusetts,5341,100.0
54800,10,25007200200,5341,3918,391,134,4366,MA,Massachusetts,5341,100.0
6,0,25007200300,5168,4248,124,146,5197,MA,Massachusetts,5168,100.0
1876,1,25007200300,5168,4248,124,146,5197,MA,Massachusetts,5168,100.0
5462,2,25007200300,5168,4248,124,146,5197,MA,Massachusetts,5168,100.0
9750,3,25007200300,5168,4248,124,146,5197,MA,Massachusetts,5168,100.0
14701,4,25007200300,5168,4248,124,146,5197,MA,Massachusetts,5168,100.0
20264,5,25007200300,5168,4248,124,146,5197,MA,Massachusetts,5168,100.0
26380,6,25007200300,5168,4248,124,146,5197,MA,Massachusetts,5168,100.0
32954,7,25007200300,5168,4248,124,146,5197,MA,Massachusetts,5168,100.0
39920,8,25007200300,5168,4248,124,146,5197,MA,Massachusetts,5168,100.0
47216,9,25007200300,5168,4248,124,146,5197,MA,Massachusetts,5168,100.0
54801,10,25007200300,5168,4248,124,146,5197,MA,Massachusetts,5168,100.0
7,0,25007200400,5276,4489,95,101,4615,MA,Massachusetts,5276,100.0
1877,1,25007200400,5276,4489,95,101,4615,MA,Massachusetts,5276,100.0
5463,2,25007200400,5276,4489,95,101,4615,MA,Massachusetts,5276,100.0
9751,3,25007200400,5276,4489,95,101,4615,MA,Massachusetts,5276,100.0
14702,4,25007200400,5276,4489,95,101,4615,MA,Massachusetts,5276,100.0
20265,5,25007200400,5276,4489,95,101,4615,MA,Massachusetts,5276,100.0
26381,6,25007200400,5276,4489,95,101,4615,MA,Massachusetts,5276,100.0
32955,7,25007200400,5276,4489,95,101,4615,MA,Massachusetts,5276,100.0
39921,8,25007200400,5276,4489,95,101,4615,MA,Massachusetts,5276,100.0
47217,9,25007200400,5276,4489,95,101,4615,MA,Massachusetts,5276,100.0
54802,10,25007200400,5276,4489,95,101,4615,MA,Massachusetts,5276,100.0
8,0,25019950100,1716,1468,48,109,3051,MA,Massachusetts,1716,100.0
1924,1,25019950100,1716,1468,48,109,3051,MA,Massachusetts,1716,100.0
5526,2,25019950100,1716,1468,48,109,3051,MA,Massachusetts,1716,100.0
9832,3,25019950100,1716,1468,48,109,3051,MA,Massachusetts,1716,100.0
14803,4,25019950100,1716,1468,48,109,3051,MA,Massachusetts,1716,100.0
20375,5,25019950100,1716,1468,48,109,3051,MA,Massachusetts,1716,100.0
26500,6,25019950100,1716,1468,48,109,3051,MA,Massachusetts,1716,100.0
33084,7,25019950100,1716,1468,48,109,3051,MA,Massachusetts,1716,100.0
40057,8,25019950100,1716,1468,48,109,3051,MA,Massachusetts,1716,100.0
47365,9,25019950100,1716,1468,48,109,3051,MA,Massachusetts,1716,100.0
54958,10,25019950100,1716,1468,48,109,3051,MA,Massachusetts,1716,100.0
9,0,25019950200,6679,4088,672,1382,3269,MA,Massachusetts,6679,100.0
1925,1,25019950200,6679,4088,672,1382,3269,MA,Massachusetts,6679,100.0
5527,2,25019950200,6679,4088,672,1382,3269,MA,Massachusetts,6679,100.0
9833,3,25019950200,6679,4088,672,1382,3269,MA,Massachusetts,6679,100.0
14804,4,25019950200,6679,4088,672,1382,3269,MA,Massachusetts,6679,100.0
20376,5,25019950200,6679,4088,672,1382,3269,MA,Massachusetts,6679,100.0
26501,6,25019950200,6679,4088,672,1382,3269,MA,Massachusetts,6679,100.0
33085,7,25019950200,6679,4088,672,1382,3269,MA,Massachusetts,6679,100.0
40058,8,25019950200,6679,4088,672,1382,3269,MA,Massachusetts,6679,100.0
47366,9,25019950200,6679,4088,672,1382,3269,MA,Massachusetts,6679,100.0
54959,10,25019950200,6679,4088,672,1382,3269,MA,Massachusetts,6679,100.0
10,0,25019950307,524,462,3,24,1091,MA,Massachusetts,524,100.0
1926,1,25019950307,524,462,3,24,1091,MA,Massachusetts,524,100.0
5528,2,25019950307,524,462,3,24,1091,MA,Massachusetts,524,100.0
9834,3,25019950307,524,462,3,24,1091,MA,Massachusetts,524,100.0
14805,4,25019950307,524,462,3,24,1091,MA,Massachusetts,524,100.0
20377,5,25019950307,524,462,3,24,1091,MA,Massachusetts,524,100.0
26502,6,25019950307,524,462,3,24,1091,MA,Massachusetts,524,100.0
33086,7,25019950307,524,462,3,24,1091,MA,Massachusetts,524,100.0
40059,8,25019950307,524,462,3,24,1091,MA,Massachusetts,524,100.0
47367,9,25019950307,524,462,3,24,1091,MA,Massachusetts,524,100.0
54960,10,25019950307,524,462,3,24,1091,MA,Massachusetts,524,100.0
11,0,25019950400,3571,2295,276,709,1880,MA,Massachusetts,3571,100.0
1927,1,25019950400,3571,2295,276,709,1880,MA,Massachusetts,3571,100.0
5529,2,25019950400,3571,2295,276,709,1880,MA,Massachusetts,3571,100.0
9835,3,25019950400,3571,2295,276,709,1880,MA,Massachusetts,3571,100.0
14806,4,25019950400,3571,2295,276,709,1880,MA,Massachusetts,3571,100.0
20378,5,25019950400,3571,2295,276,709,1880,MA,Massachusetts,3571,100.0
26503,6,25019950400,3571,2295,276,709,1880,MA,Massachusetts,3571,100.0
33087,7,25019950400,3571,2295,276,709,1880,MA,Massachusetts,3571,100.0
40060,8,25019950400,3571,2295,276,709,1880,MA,Massachusetts,3571,100.0
47368,9,25019950400,3571,2295,276,709,1880,MA,Massachusetts,3571,100.0
54961,10,25019950400,3571,2295,276,709,1880,MA,Massachusetts,3571,100.0
12,0,25019950500,1765,1576,28,88,2698,MA,Massachusetts,1765,100.0
1928,1,25019950500,1765,1576,28,88,2698,MA,Massachusetts,1765,100.0
5530,2,25019950500,1765,1576,28,88,2698,MA,Massachusetts,1765,100.0
9836,3,25019950500,1765,1576,28,88,2698,MA,Massachusetts,1765,100.0
14807,4,25019950500,1765,1576,28,88,2698,MA,Massachusetts,1765,100.0
20379,5,25019950500,1765,1576,28,88,2698,MA,Massachusetts,1765,100.0
26504,6,25019950500,1765,1576,28,88,2698,MA,Massachusetts,1765,100.0
33088,7,25019950500,1765,1576,28,88,2698,MA,Massachusetts,1765,100.0
40061,8,25019950500,1765,1576,28,88,2698,MA,Massachusetts,1765,100.0
47369,9,25019950500,1765,1576,28,88,2698,MA,Massachusetts,1765,100.0
54962,10,25019950500,1765,1576,28,88,2698,MA,Massachusetts,1765,100.0
13,0,48039661700,186,129,5,45,117,TX,Texas,3022,6.2
2844,1,48039661700,96,63,2,29,52,TX,Texas,3022,3.2
6659,2,48039661700,96,63,2,29,52,TX,Texas,3022,3.2
11168,3,48039661700,152,111,2,34,106,TX,Texas,3022,5.0
16304,4,48039661700,152,111,2,34,106,TX,Texas,3022,5.0
22056,5,48039661700,166,122,3,37,110,TX,Texas,3022,5.5
28347,6,48039661700,260,199,3,51,168,TX,Texas,3022,8.6
35071,7,48039661700,273,204,5,57,169,TX,Texas,3022,9.0
42169,8,48039661700,434,326,13,87,243,TX,Texas,3022,14.4
49574,9,48039661700,471,353,15,93,254,TX,Texas,3022,15.6
57270,10,48039661700,572,431,18,109,310,TX,Texas,3022,18.9
14,0,48039662400,138,91,0,34,41,TX,Texas,5686,2.4
42171,8,48039662400,19,9,0,9,12,TX,Texas,5686,0.3
49576,9,48039662400,125,85,0,25,42,TX,Texas,5686,2.2
57272,10,48039662400,216,148,0,51,69,TX,Texas,5686,3.8
15,0,48039662900,20,15,1,5,4,TX,Texas,4757,0.4
2845,1,48039662900,453,333,1,112,220,TX,Texas,4757,9.5
6660,2,48039662900,453,333,1,112,220,TX,Texas,4757,9.5
11169,3,48039662900,453,333,1,112,220,TX,Texas,4757,9.5
16305,4,48039662900,453,333,1,112,220,TX,Texas,4757,9.5
22057,5,48039662900,453,333,1,112,220,TX,Texas,4757,9.5
28349,6,48039662900,453,333,1,112,220,TX,Texas,4757,9.5
35074,7,48039662900,453,333,1,112,220,TX,Texas,4757,9.5
42173,8,48039662900,453,333,1,112,220,TX,Texas,4757,9.5
49578,9,48039662900,453,333,1,112,220,TX,Texas,4757,9.5
57274,10,48039662900,453,333,1,112,220,TX,Texas,4757,9.5
16,0,48039663000,209,93,78,26,116,TX,Texas,4083,5.1
22058,5,48039663000,43,21,6,12,20,TX,Texas,4083,1.1
35075,7,48039663000,43,21,6,12,20,TX,Texas,4083,1.1
42174,8,48039663000,43,21,6,12,20,TX,Texas,4083,1.1
49579,9,48039663000,43,21,6,12,20,TX,Texas,4083,1.1
57275,10,48039663000,230,112,78,28,125,TX,Texas,4083,5.6
17,0,48039663100,1081,599,84,326,550,TX,Texas,7184,15.0
16306,4,48039663100,313,164,0,136,128,TX,Texas,7184,4.4
22059,5,48039663100,313,164,0,136,128,TX,Texas,7184,4.4
28350,6,48039663100,313,164,0,136,128,TX,Texas,7184,4.4
35076,7,48039663100,340,186,3,136,139,TX,Texas,7184,4.7
42175,8,48039663100,486,286,11,169,197,TX,Texas,7184,6.8
49580,9,48039663100,1285,649,80,485,630,TX,Texas,7184,17.9
57276,10,48039663100,1596,884,97,514,755,TX,Texas,7184,22.2
18,0,48039663600,14,4,0,3,1,TX,Texas,5408,0.3
57277,10,48039663600,14,4,0,3,1,TX,Texas,5408,0.3
19,0,48039663700,1066,487,76,448,368,TX,Texas,3941,27.0
35077,7,48039663700,155,74,14,53,56,TX,Texas,3941,3.9
42176,8,48039663700,155,74,14,53,56,TX,Texas,3941,3.9
49581,9,48039663700,655,282,39,309,218,TX,Texas,3941,16.6
57278,10,48039663700,1136,511,83,482,403,TX,Texas,3941,28.8
20,0,48039664000,461,232,16,192,189,TX,Texas,3277,14.1
28351,6,48039664000,44,26,0,17,19,TX,Texas,3277,1.3
35078,7,48039664000,255,121,11,118,108,TX,Texas,3277,7.8
42177,8,48039664000,343,162,16,157,138,TX,Texas,3277,10.5
49582,9,48039664000,490,269,17,191,200,TX,Texas,3277,15.0
57279,10,48039664000,585,326,17,219,228,TX,Texas,3277,17.9
21,0,48039664100,2277,1385,49,762,1136,TX,Texas,6083,37.4
2846,1,48039664100,597,438,6,143,404,TX,Texas,6083,9.8
6661,2,48039664100,597,438,6,143,404,TX,Texas,6083,9.8
11170,3,48039664100,899,629,16,222,593,TX,Texas,6083,14.8
16307,4,48039664100,1346,860,23,417,769,TX,Texas,6083,22.1
22060,5,48039664100,1707,1084,30,540,935,TX,Texas,6083,28.1
28352,6,48039664100,1890,1143,37,653,1013,TX,Texas,6083,31.1
35079,7,48039664100,2062,1250,46,691,1058,TX,Texas,6083,33.9
42178,8,48039664100,2087,1268,48,696,1068,TX,Texas,6083,34.3
49583,9,48039664100,2259,1375,49,749,1130,TX,Texas,6083,37.1
57280,10,48039664100,2295,1389,49,770,1144,TX,Texas,6083,37.7
22,0,48039664200,978,792,16,100,1587,TX,Texas,2222,44.0
2847,1,48039664200,103,69,5,15,226,TX,Texas,2222,4.6
6662,2,48039664200,961,787,16,88,1583,TX,Texas,2222,43.2
11171,3,48039664200,961,787,16,88,1583,TX,Texas,2222,43.2
16308,4,48039664200,961,787,16,88,1583,TX,Texas,2222,43.2
22061,5,48039664200,978,792,16,100,1587,TX,Texas,2222,44.0
28353,6,48039664200,978,792,16,100,1587,TX,Texas,2222,44.0
35080,7,48039664200,978,792,16,100,1587,TX,Texas,2222,44.0
42179,8,48039664200,978,792,16,100,1587,TX,Texas,2222,44.0
49584,9,48039664200,978,792,16,100,1587,TX,Texas,2222,44.0
57281,10,48039664200,978,792,16,100,1587,TX,Texas,2222,44.0
23,0,48039664400,101,67,4,26,77,TX,Texas,5610,1.8
2848,1,48039664400,6,4,0,1,3,TX,Texas,5610,0.1
6663,2,48039664400,12,10,0,1,12,TX,Texas,5610,0.2
11172,3,48039664400,31,19,0,9,20,TX,Texas,5610,0.6
16309,4,48039664400,63,42,2,15,57,TX,Texas,5610,1.1
22062,5,48039664400,101,67,4,26,77,TX,Texas,5610,1.8
28354,6,48039664400,101,67,4,26,77,TX,Texas,5610,1.8
35081,7,48039664400,101,67,4,26,77,TX,Texas,5610,1.8
42180,8,48039664400,101,67,4,26,77,TX,Texas,5610,1.8
49585,9,48039664400,101,67,4,26,77,TX,Texas,5610,1.8
57282,10,48039664400,101,67,4,26,77,TX,Texas,5610,1.8
24,0,48039664501,2137,1569,90,367,1135,TX,Texas,5225,40.9
2849,1,48039664501,98,89,6,2,84,TX,Texas,5225,1.9
6664,2,48039664501,200,161,12,16,159,TX,Texas,5225,3.8
11173,3,48039664501,377,318,13,29,310,TX,Texas,5225,7.2
16310,4,48039664501,388,321,17,33,312,TX,Texas,5225,7.4
22063,5,48039664501,563,441,23,73,395,TX,Texas,5225,10.8
28355,6,48039664501,685,507,31,109,456,TX,Texas,5225,13.1
35082,7,48039664501,1067,804,52,158,667,TX,Texas,5225,20.4
42181,8,48039664501,1467,1121,62,217,832,TX,Texas,5225,28.1
49586,9,48039664501,1990,1459,83,358,1031,TX,Texas,5225,38.1
57283,10,48039664501,2401,1748,93,439,1246,TX,Texas,5225,46.0
25,0,48261950100,350,73,1,261,191,TX,Texas,350,100.0
2901,1,48261950100,350,73,1,261,191,TX,Texas,350,100.0
6725,2,48261950100,350,73,1,261,191,TX,Texas,350,100.0
11248,3,48261950100,350,73,1,261,191,TX,Texas,350,100.0
16393,4,48261950100,350,73,1,261,191,TX,Texas,350,100.0
22154,5,48261950100,350,73,1,261,191,TX,Texas,350,100.0
28455,6,48261950100,350,73,1,261,191,TX,Texas,350,100.0
35193,7,48261950100,350,73,1,261,191,TX,Texas,350,100.0
42305,8,48261950100,350,73,1,261,191,TX,Texas,350,100.0
49721,9,48261950100,350,73,1,261,191,TX,Texas,350,100.0
57423,10,48261950100,350,73,1,261,191,TX,Texas,350,100.0
26,0,53049950200,4639,3368,14,612,2061,WA,Washington,4639,100.0
3147,1,53049950200,4639,3368,14,612,2061,WA,Washington,4639,100.0
7034,2,53049950200,4639,3368,14,612,2061,WA,Washington,4639,100.0
11616,3,53049950200,4639,3368,14,612,2061,WA,Washington,4639,100.0
16810,4,53049950200,4639,3368,14,612,2061,WA,Washington,4639,100.0
22621,5,53049950200,4639,3368,14,612,2061,WA,Washington,4639,100.0
28963,6,53049950200,4639,3368,14,612,2061,WA,Washington,4639,100.0
35746,7,53049950200,4639,3368,14,612,2061,WA,Washington,4639,100.0
42889,8,53049950200,4639,3368,14,612,2061,WA,Washington,4639,100.0
50352,9,53049950200,4639,3368,14,612,2061,WA,Washington,4639,100.0
58082,10,53049950200,4639,3368,14,612,2061,WA,Washington,4639,100.0
27,0,53049950300,3746,2564,19,602,2116,WA,Washington,3746,100.0
3148,1,53049950300,3746,2564,19,602,2116,WA,Washington,3746,100.0
7035,2,53049950300,3746,2564,19,602,2116,WA,Washington,3746,100.0
11617,3,53049950300,3746,2564,19,602,2116,WA,Washington,3746,100.0
16811,4,53049950300,3746,2564,19,602,2116,WA,Washington,3746,100.0
22622,5,53049950300,3746,2564,19,602,2116,WA,Washington,3746,100.0
28964,6,53049950300,3746,2564,19,602,2116,WA,Washington,3746,100.0
35747,7,53049950300,3746,2564,19,602,2116,WA,Washington,3746,100.0
42890,8,53049950300,3746,2564,19,602,2116,WA,Washington,3746,100.0
50353,9,53049950300,3746,2564,19,602,2116,WA,Washington,3746,100.0
58083,10,53049950300,3746,2564,19,602,2116,WA,Washington,3746,100.0
28,0,53049950400,4025,3425,30,253,1974,WA,Washington,4025,100.0
3149,1,53049950400,4025,3425,30,253,1974,WA,Washington,4025,100.0
7036,2,53049950400,4025,3425,30,253,1974,WA,Washington,4025,100.0
11618,3,53049950400,4025,3425,30,253,1974,WA,Washington,4025,100.0
16812,4,53049950400,4025,3425,30,253,1974,WA,Washington,4025,100.0
22623,5,53049950400,4025,3425,30,253,1974,WA,Washington,4025,100.0
28965,6,53049950400,4025,3425,30,253,1974,WA,Washington,4025,100.0
35748,7,53049950400,4025,3425,30,253,1974,WA,Washington,4025,100.0
42891,8,53049950400,4025,3425,30,253,1974,WA,Washington,4025,100.0
50354,9,53049950400,4025,3425,30,253,1974,WA,Washington,4025,100.0
58084,10,53049950400,4025,3425,30,253,1974,WA,Washington,4025,100.0
29,0,53049950500,2896,2373,15,218,2062,WA,Washington,2896,100.0
3150,1,53049950500,2896,2373,15,218,2062,WA,Washington,2896,100.0
7037,2,53049950500,2896,2373,15,218,2062,WA,Washington,2896,100.0
11619,3,53049950500,2896,2373,15,218,2062,WA,Washington,2896,100.0
16813,4,53049950500,2896,2373,15,218,2062,WA,Washington,2896,100.0
22624,5,53049950500,2896,2373,15,218,2062,WA,Washington,2896,100.0
28966,6,53049950500,2896,2373,15,218,2062,WA,Washington,2896,100.0
35749,7,53049950500,2896,2373,15,218,2062,WA,Washington,2896,100.0
42892,8,53049950500,2896,2373,15,218,2062,WA,Washington,2896,100.0
50355,9,53049950500,2896,2373,15,218,2062,WA,Washington,2896,100.0
58085,10,53049950500,2896,2373,15,218,2062,WA,Washington,2896,100.0
30,0,53049950600,1474,1184,11,145,1168,WA,Washington,1474,100.0
3151,1,53049950600,1474,1184,11,145,1168,WA,Washington,1474,100.0
7038,2,53049950600,1474,1184,11,145,1168,WA,Washington,1474,100.0
11620,3,53049950600,1474,1184,11,145,1168,WA,Washington,1474,100.0
16814,4,53049950600,1474,1184,11,145,1168,WA,Washington,1474,100.0
22625,5,53049950600,1474,1184,11,145,1168,WA,Washington,1474,100.0
28967,6,53049950600,1474,1184,11,145,1168,WA,Washington,1474,100.0
35750,7,53049950600,1474,1184,11,145,1168,WA,Washington,1474,100.0
42893,8,53049950600,1474,1184,11,145,1168,WA,Washington,1474,100.0
50356,9,53049950600,1474,1184,11,145,1168,WA,Washington,1474,100.0
58086,10,53049950600,1474,1184,11,145,1168,WA,Washington,1474,100.0
31,0,53049950700,3537,3024,4,223,3051,WA,Washington,3537,100.0
3152,1,53049950700,3537,3024,4,223,3051,WA,Washington,3537,100.0
7039,2,53049950700,3537,3024,4,223,3051,WA,Washington,3537,100.0
11621,3,53049950700,3537,3024,4,223,3051,WA,Washington,3537,100.0
16815,4,53049950700,3537,3024,4,223,3051,WA,Washington,3537,100.0
22626,5,53049950700,3537,3024,4,223,3051,WA,Washington,3537,100.0
28968,6,53049950700,3537,3024,4,223,3051,WA,Washington,3537,100.0
35751,7,53049950700,3537,3024,4,223,3051,WA,Washington,3537,100.0
42894,8,53049950700,3537,3024,4,223,3051,WA,Washington,3537,100.0
50357,9,53049950700,3537,3024,4,223,3051,WA,Washington,3537,100.0
58087,10,53049950700,3537,3024,4,223,3051,WA,Washington,3537,100.0
32,0,53049950800,3045,2669,8,142,3484,WA,Washington,3045,100.0
3153,1,53049950800,3045,2669,8,142,3484,WA,Washington,3045,100.0
7040,2,53049950800,3045,2669,8,142,3484,WA,Washington,3045,100.0
11622,3,53049950800,3045,2669,8,142,3484,WA,Washington,3045,100.0
16816,4,53049950800,3045,2669,8,142,3484,WA,Washington,3045,100.0
22627,5,53049950800,3045,2669,8,142,3484,WA,Washington,3045,100.0
28969,6,53049950800,3045,2669,8,142,3484,WA,Washington,3045,100.0
35752,7,53049950800,3045,2669,8,142,3484,WA,Washington,3045,100.0
42895,8,53049950800,3045,2669,8,142,3484,WA,Washington,3045,100.0
50358,9,53049950800,3045,2669,8,142,3484,WA,Washington,3045,100.0
58088,10,53049950800,3045,2669,8,142,3484,WA,Washington,3045,100.0
33,0,53069950100,4422,3817,22,183,2169,WA,Washington,4422,100.0
3194,1,53069950100,4422,3817,22,183,2169,WA,Washington,4422,100.0
7084,2,53069950100,4422,3817,22,183,2169,WA,Washington,4422,100.0
11670,3,53069950100,4422,3817,22,183,2169,WA,Washington,4422,100.0
16866,4,53069950100,4422,3817,22,183,2169,WA,Washington,4422,100.0
22687,5,53069950100,4422,3817,22,183,2169,WA,Washington,4422,100.0
29034,6,53069950100,4422,3817,22,183,2169,WA,Washington,4422,100.0
35822,7,53069950100,4422,3817,22,183,2169,WA,Washington,4422,100.0
42968,8,53069950100,4422,3817,22,183,2169,WA,Washington,4422,100.0
50437,9,53069950100,4422,3817,22,183,2169,WA,Washington,4422,100.0
58169,10,53069950100,4422,3817,22,183,2169,WA,Washington,4422,100.0
34,0,53073011000,1191,1013,3,57,2107,WA,Washington,1191,100.0
3202,1,53073011000,1191,1013,3,57,2107,WA,Washington,1191,100.0
7093,2,53073011000,1191,1013,3,57,2107,WA,Washington,1191,100.0
11680,3,53073011000,1191,1013,3,57,2107,WA,Washington,1191,100.0
16876,4,53073011000,1191,1013,3,57,2107,WA,Washington,1191,100.0
22697,5,53073011000,1191,1013,3,57,2107,WA,Washington,1191,100.0
29045,6,53073011000,1191,1013,3,57,2107,WA,Washington,1191,100.0
35834,7,53073011000,1191,1013,3,57,2107,WA,Washington,1191,100.0
42981,8,53073011000,1191,1013,3,57,2107,WA,Washington,1191,100.0
50450,9,53073011000,1191,1013,3,57,2107,WA,Washington,1191,100.0
58183,10,53073011000,1191,1013,3,57,2107,WA,Washington,1191,100.0
35,1,01003010300,50,46,2,0,38,AL,Alabama,8380,0.6
3205,2,01003010300,50,46,2,0,38,AL,Alabama,8380,0.6
7096,3,01003010300,50,46,2,0,38,AL,Alabama,8380,0.6
11683,4,01003010300,50,46,2,0,38,AL,Alabama,8380,0.6
16879,5,01003010300,53,46,5,0,39,AL,Alabama,8380,0.6
22700,6,01003010300,87,78,5,0,57,AL,Alabama,8380,1.0
29048,7,01003010300,97,81,10,0,65,AL,Alabama,8380,1.2
35837,8,01003010300,97,81,10,0,65,AL,Alabama,8380,1.2
42984,9,01003010300,97,81,10,0,65,AL,Alabama,8380,1.2
50453,10,01003010300,696,607,24,37,260,AL,Alabama,8380,8.3
36,1,01003010704,20,7,1,0,1,AL,Alabama,5307,0.4
3207,2,01003010704,20,7,1,0,1,AL,Alabama,5307,0.4
7098,3,01003010704,20,7,1,0,1,AL,Alabama,5307,0.4
11685,4,01003010704,20,7,1,0,1,AL,Alabama,5307,0.4
16881,5,01003010704,20,7,1,0,1,AL,Alabama,5307,0.4
22702,6,01003010704,20,7,1,0,1,AL,Alabama,5307,0.4
29050,7,01003010704,20,7,1,0,1,AL,Alabama,5307,0.4
35839,8,01003010704,20,7,1,0,1,AL,Alabama,5307,0.4
42987,9,01003010704,20,7,1,0,1,AL,Alabama,5307,0.4
50456,10,01003010704,41,13,1,7,2,AL,Alabama,5307,0.8
37,1,01003011403,360,333,6,8,326,AL,Alabama,13689,2.6
3209,2,01003011403,1196,982,29,93,772,AL,Alabama,13689,8.7
7101,3,01003011403,1321,1101,29,97,854,AL,Alabama,13689,9.7
11691,4,01003011403,1422,1181,30,104,900,AL,Alabama,13689,10.4
16887,5,01003011403,1599,1333,32,111,1000,AL,Alabama,13689,11.7
22710,6,01003011403,1655,1368,32,120,1020,AL,Alabama,13689,12.1
29058,7,01003011403,1880,1575,36,126,1147,AL,Alabama,13689,13.7
35847,8,01003011403,2009,1687,37,132,1257,AL,Alabama,13689,14.7
