,rise,geoid_county,U7B001,U7C005,U7B004,U7C002,U7G001,state_code,state_name
85,0,22057,12969.0,10640.0,971.0,536.0,5435.0,LA,Louisiana
86,0,22063,2097.0,1874.0,90.0,57.0,1095.0,LA,Louisiana
87,0,22071,188.0,146.0,6.0,18.0,119.0,LA,Louisiana
88,0,22075,287.0,183.0,40.0,38.0,299.0,LA,Louisiana
89,0,22087,180.0,143.0,6.0,30.0,251.0,LA,Louisiana
90,0,22089,6370.0,4874.0,908.0,295.0,2474.0,LA,Louisiana
91,0,22093,258.0,102.0,134.0,14.0,114.0,LA,Louisiana
92,0,22095,406.0,207.0,168.0,22.0,115.0,LA,Louisiana
93,0,22099,525.0,486.0,0.0,15.0,455.0,LA,Louisiana
94,0,22101,1918.0,841.0,602.0,314.0,923.0,LA,Louisiana
95,0,22103,4505.0,3227.0,663.0,301.0,2351.0,LA,Louisiana
96,0,22105,7.0,0.0,6.0,0.0,2.0,LA,Louisiana
97,0,22109,22780.0,16225.0,2455.0,1048.0,10230.0,LA,Louisiana
98,0,22113,1258.0,1100.0,38.0,60.0,916.0,LA,Louisiana
99,0,22121,125.0,107.0,9.0,6.0,55.0,LA,Louisiana
100,0,23005,589.0,548.0,0.0,11.0,479.0,ME,Maine
101,0,23009,40.0,32.0,0.0,4.0,26.0,ME,Maine
102,0,23011,89.0,68.0,0.0,7.0,42.0,ME,Maine
103,0,23013,4.0,4.0,0.0,0.0,4.0,ME,Maine
104,0,23015,106.0,93.0,0.0,2.0,80.0,ME,Maine
105,0,23023,79.0,72.0,1.0,2.0,34.0,ME,Maine
106,0,23027,120.0,114.0,0.0,4.0,112.0,ME,Maine
107,0,23029,233.0,199.0,1.0,8.0,120.0,ME,Maine
108,0,23031,969.0,909.0,4.0,14.0,1765.0,ME,Maine
109,0,24003,2672.0,2341.0,164.0,61.0,1360.0,MD,Maryland
110,0,24005,14.0,0.0,2.0,6.0,1.0,MD,Maryland
111,0,24009,127.0,93.0,15.0,4.0,64.0,MD,Maryland
112,0,24011,248.0,233.0,5.0,2.0,112.0,MD,Maryland
113,0,24015,25.0,8.0,3.0,10.0,4.0,MD,Maryland
114,0,24017,161.0,95.0,60.0,3.0,81.0,MD,Maryland
115,0,24019,265.0,232.0,14.0,5.0,178.0,MD,Maryland
116,0,24029,115.0,98.0,8.0,6.0,68.0,MD,Maryland
117,0,24033,1.0,0.0,1.0,0.0,0.0,MD,Maryland
118,0,24037,638.0,575.0,14.0,11.0,301.0,MD,Maryland
119,0,24039,410.0,326.0,46.0,5.0,271.0,MD,Maryland
120,0,24041,55.0,36.0,7.0,4.0,31.0,MD,Maryland
121,0,24045,351.0,280.0,27.0,4.0,143.0,MD,Maryland
122,0,24047,1421.0,1195.0,117.0,45.0,1532.0,MD,Maryland
123,0,24510,610.0,497.0,30.0,22.0,474.0,MD,Maryland
124,0,25001,4552.0,4126.0,120.0,92.0,4993.0,MA,Massachusetts
125,0,25005,266.0,229.0,10.0,10.0,105.0,MA,Massachusetts
126,0,25007,68.0,58.0,3.0,1.0,52.0,MA,Massachusetts
127,0,25009,4984.0,4456.0,54.0,152.0,3032.0,MA,Massachusetts
128,0,25017,1596.0,977.0,135.0,77.0,982.0,MA,Massachusetts
129,0,25021,1938.0,1412.0,42.0,79.0,874.0,MA,Massachusetts
130,0,25023,6052.0,5712.0,24.0,71.0,3161.0,MA,Massachusetts
131,0,25025,9292.0,5524.0,413.0,2045.0,5233.0,MA,Massachusetts
132,0,28045,192.0,176.0,1.0,8.0,162.0,MS,Mississippi
133,0,28047,673.0,557.0,31.0,28.0,322.0,MS,Mississippi
134,0,28059,2226.0,1774.0,176.0,140.0,1114.0,MS,Mississippi
135,0,33015,2734.0,2494.0,18.0,105.0,1881.0,NH,New Hampshire
136,0,33017,16.0,13.0,0.0,2.0,4.0,NH,New Hampshire
137,0,34001,2613.0,1918.0,165.0,374.0,1659.0,NJ,New Jersey
138,0,34003,2586.0,929.0,176.0,1105.0,1013.0,NJ,New Jersey
139,0,34005,1332.0,934.0,112.0,136.0,563.0,NJ,New Jersey
140,0,34007,814.0,522.0,121.0,143.0,403.0,NJ,New Jersey
141,0,34009,1956.0,1708.0,50.0,112.0,1768.0,NJ,New Jersey
142,0,34011,1209.0,752.0,145.0,241.0,652.0,NJ,New Jersey
143,0,34015,1732.0,1451.0,112.0,99.0,714.0,NJ,New Jersey
144,0,34017,2806.0,1439.0,114.0,314.0,1284.0,NJ,New Jersey
145,0,34021,208.0,175.0,4.0,21.0,87.0,NJ,New Jersey
146,0,34023,768.0,509.0,66.0,152.0,316.0,NJ,New Jersey
147,0,34025,820.0,594.0,34.0,96.0,392.0,NJ,New Jersey
148,0,34029,1475.0,1307.0,41.0,67.0,1287.0,NJ,New Jersey
149,0,34033,3323.0,2365.0,548.0,273.0,1591.0,NJ,New Jersey
